"","money"
"1272","College football news moved faster this week than Oregon's offense in Chip Kelly's hey-day with the Ducks, and the blur started with Kelly himself deciding to return to the Pac-12."
"1273","A list of nominees in the top categories at the 60th annual Grammy Awards, announced Tuesday by The Recording Academy."
"1274","J.J. Watt raised more than $37 million for Hurricane Harvey relief efforts and Jose Altuve led the Houston Astros to their first World Series title, both giving hope to the city as it picked up the pieces from the devastating storm."
"1275","The Latest on Republican tax overhaul legislation (all times local):"
"1276","Bitcoin zoomed past $11,000 to hit a record high for the sixth day in a row on Wednesday after gaining more than $1,000 in just 12 hours, stoking concerns that a rapidly swelling bubble could be set to burst in spectacular fashion. "
"1277","Honduran police fired tear gas at rock-hurling protesters on Thursday after a contentious presidential election that looks set to drag on for two more days without a clear winner, deepening the political crisis in the Central American nation. "
"1278","A few days after his inauguration, U.S. President Donald Trump stood beside British Prime Minister Theresa May in the White House and proclaimed the strength of the ""most special relationship"" between their two countries."
"1279","CVS Health Corp is planning to significantly expand health services at its retail pharmacies if it completes a more than $66 billion (&#163;48.9 billion pounds) deal for insurer Aetna Inc, a move that could save more than $1 billion annually, peop..."
"1280","Sam Allardyce and Alan Pardew are favourites to take over the managerial vacancies at Everton and West Bromwich Albion, appointments that would reinforce the cautious culture that exists in the Premier League."
"1281","One of two lawsuits still pending in the Jerry Sandusky child molestation scandal is nearing trial, and lawyers for the alleged victims in both cases say they have evidence Penn State administrators were not the only people at the university who k..."
"1282","A colleague of Katerina Tikhonova from the world of acrobatic rock'n'roll confirmed that she is the younger daughter of Russian President Vladimir Putin, and then later withdrew his comments, saying he had misheard the question."
"1283","New taxes are not the answer. A radical reorientation of their mission is."
"1284","Tennessee has turned to its familiar past to comfort its uneasy fan base in an attempt to rescue what has been a tumultuous and embarrassing football coaching search."
"1285","Cases decided decades ago have set an absurdly high bar for workers bringing sexual harassment lawsuits."
"1286","Dragging its abysmal standards lower, it may throw more money at billionaires to win two crucial votes."
"1287",""
"1288","The North Korean soldier critically wounded when making a dash to the south last month may have cheated death, but even as his health improves, he is months if not years away from finding&#160;a normal life in South Korea, officials and other defe..."
"1289","In a rambling speech in Missouri on Tuesday, President Trump criticized the rich and said the tax bill in Washington would not help people like him."
"1290","Gary Lineker was furious, astonished at how FIFA's executives were handing out the rights to host the 2018 and 2022 World Cups."
"1291","Rogue online gamers have designed, sold or used computer code to crush competitors playing the popular ""Fortnite"" survival video game, spoiling the experience and the creator's profit potential, the game's maker charges in a series of lawsuits."
"1292","Filip Forsberg of the Nashville Predators finally has started in the sizzling scoring fashion he usually finishes a season."
"1293","Growing up in Cookeville, Tennessee, a university town about 80 miles east of Nashville, Hayley Furcean was determined to be the first college graduate in her family."
"1294","European leaders under pressure from a far-right revival at home hope to avoid a difficult debate about immigration when they meet their African counterparts in Ivory Coast from Wednesday."
"1295","In a story Nov. 30 about the scheduled expiration of a federal consent decree, a headline by The Associated Press mischaracterized the effect on the Republican National Committee. The RNC will be free to engage in legal election-related activities..."
"1296","The 1980s brought even more massacres and disappearances during Guatemala&#8217;s civil war. Robert Nickelsberg ventured to the highlands during that time to document the devastating effects of that violence on Mayan villages."
"1297","Xavier Rolet said he had no intention to return as chief executive or as a director after an investor waged a public fight to retain him."
"1298","Jimmy Vaccaro has been taking &#8212; and dispensing &#8212; money in this city's sports books for the better part of 43 years."
"1299","Johnny Hallyday, France's biggest rock star for more than half a century and an icon who packed sports stadiums and all but lit up the Eiffel Tower with his pumping pelvis and high-voltage tunes, has died. He was 74."
"1300","There's a toast Russians offer when something looks too good to be true."
"1301","A lawsuit claims that African-American civilian employees of the New York Fire Department, on the whole, are paid lower wages than white employees with the same jobs."
"1302","Torsten Liljeberg's handshake is solid, and he's fit as only a former Olympian can be. For those who don't know him, he could pass for someone in his 80s enjoying his retirement at his seaside home in Helsinki."
"1303","With its spacious bar and banks of TVs tuned to all-sports stations, the lounge at New Jersey's Monmouth Park Racetrack is a sports gamblers' paradise-in-waiting. All that's standing in its way: a 25-year-old federal law that bars betting on sport..."
"1304","The top editor for the National Enquirer, Us Weekly and other major gossip publications openly described his sexual partners in the newsroom, discussed female employees' sex lives and forced women to watch or listen to pornographic material, forme..."
"1305","Boxing fans get an early holiday gift Saturday when two masterful fighters with four Olympic gold medals between them meet in an intriguing 130-pound title bout."
"1306","Grand prix teams could be racing each other in the virtual world as well as the real one next season, and fighting to sign up the hottest gamer talent, as Formula One wakes to the power of eSports."
"1307","A Kentucky lawyer who vanished for six months to elude prison time in a Social Security fraud case now faces a much harsher sentence that could put him behind bars for the rest of his life, his attorney acknowledged Wednesday."
"1308","Ford Motor Co  is expected to sign as early as Thursday a deal with Alibaba Group Holding Ltd which may allow the U.S. automaker to test selling cars to consumers in China through Alibaba's online retail arm Tmall, as well as via a new &#8220;auto..."
"1309","Former Romanian King Michael I, who was forced to abdicate by the communists in the aftermath of World War II, died on Tuesday. He was 96."
"1310","Writers from across the political spectrum on the tax legislation making its way through Congress."
"1311","AT&T has responded to the government’s lawsuit seeking to block its bid for Time Warner, and the company’s main argument is that it’s not as big as it looks."
"1312","The sharp divisions between Charlottesville residents and their elected leaders and police were on display Monday at a tense, raucous City Council meeting, the first since the release of a scathing report on officials' response to a white national..."
"1313","Blue Apron co-founder Matt Salzberg is stepping down as chief executive and being replaced with Chief Financial Officer Brad Dickerson."
"1314","British negotiators were locked in last-minute talks with their European Union and Irish counterparts on Monday, trying to put together a Brexit deal that Prime Minister Theresa May might agree over lunch in Brussels."
"1315","British Prime Minister Theresa May failed to secure a breakthrough in Brexit talks on Monday with European Commission President Jean-Claude Juncker. "
"1316","As a shutdown of Bali's airport is extended due to volcanic ash, airlines bracing for millions of dollars of lost revenue per day are scrambling to minimise damage by offering travel to other destinations and alternative transport off the island."
"1317","The Philippines ordered an investigation on Monday into the immunization of more than 730,000 children with a vaccine for dengue that has  been suspended following an announcement by French drug company Sanofi that it could worsen the disease in s..."
"1318","The Honduran presidential candidate leading after a partial count of votes said he would review whether to keep a base stationed with U.S. troops if he wins the election, but also promised to deepen security co-operation."
"1319","Critics said the Trump administration’s withdrawal from U.N. talks on the migration crisis had reinforced an image of renewed American isolationism."
"1320","The 27th annual Gotham Awards appeared headed for a sweep for Jordan Peele's social thriller ""Get Out,"" but the sensual coming-of-age tale ""Call Me By Your Name"" swooped in to take best feature film at the first major soiree of Oscar season."
"1321","CVS Health Corp is planning to significantly expand health services at its retail pharmacies if it completes a more than $66 billion deal for insurer Aetna Inc, a move that could save more than $1 billion annually, people familiar with the matter ..."
"1322","A children’s health insurance program popular with both Republicans and Democrats is in limbo because of partisan rancor that has stymied legislative action in Washington."
"1323","Nigeria's government has a plan for the northeast, torn apart by eight years of conflict with Boko Haram: displaced people will be housed in fortified garrison towns, ringed by farms, with the rest of the countryside effectively left to fend for i..."
"1324","New, long-acting drugs may hold hope for millions of people who often suffer migraines. Studies of two of these medicines, given as shots every month or so, found they cut the frequency of the notoriously painful and disabling headaches."
"1325","Max Holloway sought to build up his UFC legacy and push Jose Aldo closer to the end of his career."
"1326","A brush fire erupted near the Getty Museum before dawn on Wednesday, while a much larger fire continued to rage out of control in the Ventura area."
"1327","Saudi Arabia has said it aims to raise around $200 billion in the next several years through privatization programs in 16 sectors ranging from oil to healthcare, education, airports and grain milling. It separately wants to raise another $100 bill..."
"1328","Garrison Keillor, whose stories of small-town characters entertained legions of public radio listeners for 40 years on ""A Prairie Home Companion,"" became another celebrity felled by allegations of workplace misconduct on Wednesday when Minnesota P..."
"1329","Here are ideas for gifts that will make a difference."
"1330","An independent report that found serious police and government failures in responding to violence at a white nationalist rally in Charlottesville this summer also accuses police agencies of putting up roadblocks to the investigation."
"1331","British Prime Minister Theresa May traveled to Saudi Arabia on Wednesday night and met King Salman and his assertive 32-year-old son who now stands next in line for the throne, capping a day that saw her make a surprise visit to Iraq."
"1332","When everything is going well for Artem Anisimov, he is repeatedly hit by sticks &#8212; in the back, legs, everywhere. He is pushed, poked and prodded by big, hulking defensemen, and all he can do is stand his ground as much as possible."
"1333","Too many leftovers from dinner? Vegetables forgotten in the fridge or cans gathering dust at the back of a cupboard? Instead of tossing them out, why not share them with friends and neighbors and care for the planet at the same time?"
"1334","Critics of the agency are exaggerating when they say the agency is “completely unaccountable” and adds little to consumer protection."
"1335","The OPEC cartel and a group of allied oil-producing nations agreed Thursday to extend crude output cuts until the end of next year, continuing a policy that led to a significant rise in the price of oil over the past year."
"1336","Mr. Noah said that President Trump might be less likely to support a bill that benefits the rich if he were reminded that former President Barack Obama is among them."
"1337","Lagging behind in the Western Conference well past the quarter mark of the season, the Minnesota Wild were embarrassed by their last two losses with a whopping total of 13 goals allowed."
"1338","San Francisco 49ers safety Eric Reid says he left The Players Coalition because founder Malcolm Jenkins excluded Colin Kaepernick from meetings, and asked players if they would stop protesting the anthem if the NFL made a charitable donation to ca..."
"1339","The release of a new report suggesting breaking up the M.T.A. is a reminder that politics has not always been the cause of subway woes. In fact, it has occasionally helped."
"1340","Pope Francis avoided referring to the persecuted Muslim minority by name in Myanmar, but now that he is across the border, that may change."
"1341","Pope Francis called on the people of Myanmar on Wednesday to embrace peace and reconciliation as their country emerges from nearly five decades of military rule still riven by ethnic conflicts and communal strife."
"1342","The Yellow Ribbon program depends on help from private schools. A tax on endowments could threaten that."
"1343","GOP leaders toiled behind the scenes Wednesday in hopes of readying a long-anticipated tax bill for a floor debate. A pair of pro-family Republicans offered a plan to pare back a proposed cut in corporate tax rates to make an increase in the child..."
"1344","An overhaul championed by President Trump and Republican leaders could reshape health care, education and social services."
"1345","The eighth round of Syria peace talks got under way on Tuesday with a revamped and expanded opposition team meeting with the U.N. envoy in Geneva, but President Bashar Assad's government was conspicuously absent and Russia bemoaned back-channel di..."
"1346","A system for settling sexual harassment complaints against lawmakers puts the burden on victims, and taxpayers."
"1347","Here’s what you need to know at the end of the day."
"1348","Since the housing crisis and recession, consumers have been able to turn to the Consumer Financial Protection Bureau for help with problems with their financial institutions. That assurance could soon fade."
"1349","The Thai capital has always been rich in reptiles, but wet weather and urban growth are creating more snake-on-human encounters of an unpleasant kind."
"1350","The nominees for 20 of the 84 categories."
"1351","OPEC and Russia are heading towards prolonging their oil supply cuts for the whole of 2018 but with an option to review the deal in June, OPEC sources said on Tuesday after Moscow expressed concerns the market could overheat."
"1352","The result of Honduras' presidential election remained in limbo on Tuesday, with a gregarious TV host's surprise lead narrowing sharply, prompting him to call on supporters to take to the streets of the capital to defend the vote."
"1353","Republicans held together and shoved their signature tax overhaul a crucial step ahead Tuesday as wavering GOP senators showed a growing openness. But its fate remained uncertain, and a planned White House summit aimed at averting a government shu..."
"1354","Signs are being placed across the U.S. to commemorate where those sold into slavery first arrived. Some see it as a counterpoint to Confederate monuments."
"1355","As his company closes in on a deal for much of the Fox media empire, the C.E.O. may have to postpone retirement yet again to oversee post-merger work."
"1356","The Latest on wildfires in Southern California (all times local):"
"1357","Two senators have argued that big corporations are being given preferential treatment compared with pass-throughs. The problem that is wrong."
"1358","An army of firms helped put together the year’s biggest announced merger, with at least $120 million in potential fees to go around for the banks alone."
"1359","The Latest on the GOP tax bill (all times local):"
"1360","In some African nations, trophy hunting has provided funds needed to preserve endangered species. In other countries, the business has decimated animal populations."
"1361","In a neighborhood known for its public housing, luxury towers are in the works, and not everyone is pleased."
"1362","The Latest on the 13th Sunday of the NFL regular season (all times Eastern):"
"1363","The Latest on the World Cup draw (all times local):"
"1364","Wall Street’s volatility index has jumped on news that Michael Flynn has pleaded guilty and is cooperating with Robert Mueller’s investigation."
"1365","The city’s recent ferry expansion is bringing a surge of interest to long-neglected neighborhoods on the East River."
"1366","A range of new books offering advice to gardeners, hikers and amateur naturalists, with detours back to colonial America and even Middle-earth."
"1367","We modeled taxes for 25,000 middle-class families. Here’s how the Senate bill would affect each of them."
"1368","Machine learning is paving the way to better customer service."
"1369","Britons who voted for Brexit in the hope of slashing immigration seem set for disappointment. In the farming and food industries at least, any exodus of Polish and Romanian workers may simply be followed by arrivals of Ukrainians and Filipinos."
"1370","Some think Prime Minister Hun Sen considers himself the reincarnation of a 16th-century ruler. Recently built statues certainly suggest a resemblance."
"1371","The country’s extensive, state-backed doping program results in penalties without precedent. The Russian Federation will not participate, though individual athletes may."
"1372","As businesses leave, developers around the country are considering new uses for office and industrial parks, often lifeless spaces far from restaurants and retail."
"1373","A down-to-earth material is inspiring some very different looks in high-end jewelry and watches."
"1374","A number of people in the Kawangware community had never heard a violin played before."
"1375","""Today"" show host Matt Lauer was fired for what NBC on Wednesday called ""inappropriate sexual behavior"" with a colleague and was promptly confronted with a published report accusing him of crude and habitual misconduct with other women around the ..."
"1376","Here’s what you need to know to start your day."
"1377","Tuesday: Meditation tips for a stressful time of year, free ice skating and the library’s top books for kids."
"1378","Thursday: How pups fare in cold weather, goings-on around town, and a day to honor pioneer pilots."
"1379","Russian athletes will be allowed to stand on the medal podium at the Winter Olympics &#8212; just not with their anthem playing or their nation's flag rising above them."
"1380","Lawsuits have an intimidating effect on an already difficult enterprise. "
"1381","CVS Health wants to do much more than fill your prescription or jab your arm with an annual flu shot."
"1382","The head of the company’s animation divisions is on a sabbatical when Disney can ill afford turmoil in one of its most successful areas."
"1383","A well-financed advertising and lobbying campaign for DACA beneficiaries is pushing Congress for a deal."
"1384","He is 53 now and wore a red suit, a wig and a beard as part of a publicity stunt at a Manhattan nightclub that provided him with some extra money for the holidays."
"1385","A young indigenous Sami reindeer herder is suing the Norwegian government at the Supreme Court, with a little help from his sister — and her hundreds of bullet-ridden reindeer skulls."
"1386","Here’s what you need to know to start your day."
"1387","The two newest teams in Canadian Women’s Hockey League play nearly 8,000 miles from Toronto — in Shenzhen, China."
"1388","Essential to Philip D. Murphy’s agenda was a so-called “millionaire’s tax,’’ but legislators are rethinking that plan in light of the federal measure."
"1389","President Donald Trump's immigration crackdown has produced a spike in detentions by deportation officers across the country during his first months in office. At the same time, arrests along the Mexican border have fallen sharply, apparently as f..."
"1390","In a year full of electoral events, continuity is good news for the region."
"1391","Under the Affordable Care Act, many Americans are forced to shop around, again and again, when insurance plans quit the market or modify their terms."
"1392","Some surprising, serious and sometimes silly events and trends that happened for the first time in 2017."
"1393","Here’s what you need to know to start your day."
"1394","A federal judge sentenced Mr. Slager for violating Mr. Scott’s civil rights after ruling that Mr. Scott’s shooting death after a traffic stop was an act of murder."
"1395","Iran's allies in Lebanon have emerged even stronger from a crisis triggered by Saudi Arabia, which achieved little more than to force the Saudis' main Lebanese ally - Prime Minister Saad al-Hariri - closer to Tehran's friends in Beirut.   "
"1396","Britain will guarantee rights for as yet unborn children who join EU parents after Brexit and accept EU judges' rulings on such rights, according to a draft European Parliament resolution seen by Reuters on Thursday."
"1397","The purchase of DaVita Medical Group moves UnitedHealth more into the role of doctor as it buys nearly 300 clinics across six states."
"1398","Numerous electronics brands have sprung up offering inexpensive gadgets. Here’s how Amazon enables them, and how other brands may copy that success."
"1399","Designs for the limited-edition coins included a corset-wrapped Eiffel Tower and a Gallic rooster in a Breton top."
"1400","Amid the holiday giving season, we talked to Josh Groban, Audra McDonald and others about a charity they support and what motivates them to donate."
"1401","Here’s what you need to know to start your day."
"1402","A recent change in Iowa's tax code spared Mark Chelgren's machine shop, welding company and wheelchair-parts plant from paying sales tax when buying certain supplies such as saws and cutting fluid."
"1403","Zhou Xinci left her hometown in China's struggling rust belt four years ago for Beijing with little more than the clothes on her back and a dream to one day save enough money to buy a home."
"1404","The nation's homeless population increased this year for the first time since 2010, driven by a surge in the number of people living on the streets in Los Angeles and other West Coast cities."
"1405","In the 1990s, they were premature. This time, they might have arrived too late."
"1406","As major companies chase India’s new internet users, Google is changing core products to work better on low-end smartphones and use less data."
"1407","Britain will guarantee rights for as yet unborn children who join EU parents after Brexit and accept EU judges' rulings on such rights, according to a draft European Parliament resolution seen by Reuters on Thursday."
"1408","Johnny Hallyday, France's biggest rock star for more than half a century and an icon who packed sports stadiums and all but lit up the Eiffel Tower with his high-energy concerts at the foot of the Paris landmark, died early Wednesday. He was 74."
"1409","Forcing Jack Phillips to make cakes for same-sex weddings is unconstitutional. Here’s why."
"1410","The Liberty Science Center in Jersey City says it’s 110 feet in diameter — even bigger than one across the river at the Museum of Natural History."
"1411","Loss-making Cathay Pacific Airways Ltd hired McKinsey &amp; Co consultants earlier this year to advise on a transformation plan, drawing on turnarounds at regional rivals such as Qantas Airways Ltd and Japan Airlines Co Ltd."
"1412","The shifting explanations for why President Donald Trump fired national security adviser Michael Flynn have revived questions about whether the president may have obstructed an ongoing investigation of potential contacts between his campaign and R..."
"1413","The fund started by an AOL co-founder and an author has attracted a Who’s Who of American business to invest in the heartland’s entrepreneurs."
"1414","David Lang’s “symphony for a broken orchestra” had its premiere as part of a project to fix damaged instruments from Philadelphia’s public schools."
"1415","Just as entrepreneurs getting into the retail pot industry need a good lawyer, some of those lawyers might be wise to consult an attorney of their own."
"1416","Linda Gordon’s “The Second Coming of the KKK” recounts an ugly chapter of the American past."
"1417","Experts estimate that 30 million Americans are plagued at some point in their lives by eating disorders. Some will recover; one-third will remain chronically ill or die."
"1418","The Latest on the budget battle in Congress (all times local):"
"1419","Britain will guarantee rights for as yet unborn children who join EU parents after Brexit and accept EU judges' rulings on such rights, according to a draft European Parliament resolution seen by Reuters on Thursday."
"1420","Regenerative agriculture can help mitigate climate change."
"1421","A news broadcast about a market where African captives are sold drew a muted response from European officials, who are intent on keeping out migrants."
"1422","What led the Yankees to Boone? Those who know him say: his baseball lineage, attention to detail, curiosity about all aspects of the game and ability to relate to people."
"1423","Iran's allies in Lebanon have emerged even stronger from a crisis triggered by Saudi Arabia, which achieved little more than to force the Saudis' main Lebanese ally - Prime Minister Saad al-Hariri - closer to Tehran's friends in Beirut.   "
"1424","After years of not confronting countries who break the rules and their promises, the I.O.C. took a much-needed stand against a country awash in doping."
"1425","Igniting fears of violence in the region, President Trump’s decision could derail any peace initiative, Arab and European leaders warn."
"1426","Doug Jones, the Democratic nominee running against Roy S. Moore in Alabama, has leaned on a network of fellow prosecutors and civil rights lawyers for help."
"1427","The tax bills in final talks would allow tax-favored savings for private school tuition, but by curtailing state and local tax deductions, they could hit public schools."
"1428","The death of the former president, Ali Abdullah Saleh, could plunge war-torn Yemen into new chaos."
"1429","New highways and trains and changes in farming are opening up the country’s poorer cities and rural areas, long laggards amid China’s torrid growth."
"1430","Nicole Krauss reviews “The River of Consciousness,” a book of Sacks’s essays covering his favored topics, like the evolution of life and the workings of memory."
"1431","Here’s what you need to know to start your day."
"1432","Here’s the good news: You can find scads of wonderful children’s books about grandparents, even if there aren’t a lot of great adult books for them."
"1433","More than 20 years after visiting East Africa, I am still weighed down by the hunger I saw there. Today, millions of people are hungry again."
"1434","Here’s what you need to know to start your day."
"1435","Our roundup of the news stories and features about young people that have recently appeared across sections of NYTimes.com."
"1436","He met with Muslim refugees and heard their stories, but did not address his earlier public silence about them while in Myanmar."
"1437","Heavy airstrikes by the Saudi-led coalition rocked Yemen's capital Tuesday, striking Sanaa's densely populated neighborhoods in apparent retaliation for the killing of former President Ali Abdullah Saleh by the Shiite rebels who control the city."
"1438","Keeping meticulous records over decades, the Krefeld Entomological Society documented a 75 percent decline in bug populations that shocked the world."
"1439","In recent years, the one-time bastion of Catholic conservatism has moved left on same-sex marriage and gay rights, and is poised to repeal a constitutional ban on abortion."
"1440","How much are you worth? For the FX and bond analysts covering the world's biggest markets, how much to charge for their time and research remains in question just a month away from sweeping new rules that require fund managers to pay for these ser..."
"1441","Ndamukong Suh, the NFL's best three-time All-Pro defensive tackle doubling as an emergency placekicker, says the stakes were high the last time he tried a field goal."
"1442","Britain will guarantee rights for as yet unborn children who join EU parents after Brexit and accept EU judges' rulings on such rights, according to a draft European Parliament resolution seen by Reuters on Thursday."
"1443","Hundreds of participants attended the opening of a human rights forum in Beijing on Thursday in the latest installment of China's energetic drive to showcase what it considers the strengths of its authoritarian political system under President Xi ..."
"1444","Investors have lifted Bitcoin past $13,000, likening it to gold as a place to store money. Early followers who hoped for a faster, cheaper way to pay for things are looking elsewhere."
"1445","Former Yemeni strongman Ali Abdullah Saleh's death at the hands of his own allies, the Shiite rebels known as Houthis, has put the impoverished nation's three-year civil war at a crossroads, and there are several widely differing directions it cou..."
"1446","Bitcoin fans are salivating over the potential of long-awaited legitimacy for the cyptocurrency when futures trading launches this weekend, but experts worry the risks associated with bitcoin's Wild West-like nature could overshadow the debut."
"1447","Here’s what you need to know to start your day."
"1448","Advisers say many investors struggle to separate President Trump’s harsh political language from the strong fundamentals of American companies."
"1449","People who can see better are more likely to get exercise, take their medication and avoid falls, experts say."
"1450","Mabingue Ngom, the head of the U.N. Population Fund in West Africa, knows that if he wants to cut birth rates he can't ignore religion."
"1451","For the third straight season, Alabama and Clemson will meet in the College Football Playoff. For the first time ever, Georgia and Oklahoma will play, and it will be in the College Football Playoff."
"1452","Also the week of Dec. 3: Bernard Labadie’s debut at the Orchestra of St. Luke’s; Lucy Kirkwood’s ‘The Children’ on Broadway."
"1453","Here’s what we’ve learned in the first week of a Manhattan trial over a vast, billion-dollar conspiracy to violate United States sanctions by swapping Turkish gold for Iranian oil."
"1454","Negotiations and sanctions haven’t stopped the Kim regime. Financial warfare of the kind the Jewish state has waged against Hamas might."
"1455","President Donald Trump on Wednesday shared anti-Muslim videos posted on Twitter by a far-right British party leader, drawing condemnation from Britain, U.S. Muslim groups and some members of Congress."
"1456","President Trump shared video posts from a British ultranationalist, Jayda Fransen, including “Muslim Destroys a Statue of Virgin Mary!”"
"1457","Saudi Arabia's powerful crown prince relies on a small core group of advisers, none more provocative than Thamer al-Sabhan, the fiercely anti-Iran government official whose fingerprints were on the hurried and ultimately unsuccessful resignation o..."
"1458","Here’s what you need to know to start your day."
"1459","A guide to the teams in Pot 3 in Friday's draw for the 2018 World Cup in Russia:"
"1460","U.S. President Donald Trump sparked outrage in Britain on Thursday with a sharp rebuke of Prime Minister Theresa May on Twitter after she criticized him for retweeting British far-right anti-Islam videos.  "
"1461","For instance, India can teach us the power of digitized data."
"1462","A man filed a police report in Illinois in 2016 claiming that when he was a teenager in the 1980s, Mr. Levine began sexually abusing him."
"1463","The restaurateur Dean Poll has worked to uncover the history behind Gallaghers, a 90-year-old steakhouse that was once a hangout for gangsters and Broadway stars."
"1464","A federal judge denied an emergency request on behalf of an Obama-era holdover who disputed President Trump’s decision to appoint a new acting director of the Consumer Financial Protection Bureau."
"1465","The Latest on President Donald Trump's tweets of anti-Muslim videos (all times local):"
"1466","Lawmakers responded angrily after the president shared videos from a British far-right group, and then rebuked Prime Minister Theresa May."
"1467","Republicans muscled the largest tax overhaul in 30 years through the Senate early Saturday, taking a big step toward giving President Donald Trump his first major legislative triumph after months of false starts and frustration on other fronts."
"1468","Felicita Villagran Villeda and her 15-year-old son sat on a dirt road next to the Rio Grande passing a plastic water jug back and forth, trying to catch their breath as the Texas sun bore down on them overhead. Border Patrol agents in green unifor..."
"1469","Syrian migrant Bashar Wakaa and his heavily pregnant wife are days away from the birth of their third child, stranded on the Greek island of Lesbos in a muddy, garbage-strewn olive grove with no running water or toilets."
"1470","Josh Brookhart has four health insurers to choose from in Seattle's King County for 2018, more than many Americans like him who buy coverage on the Obamacare individual market. "
"1471","Former Yemeni strongman Ali Abdullah Saleh's death at the hands of his own allies, the Shiite rebels known as Houthis, has put the impoverished nation's 3-year civil war at a crossroads, and there are several widely differing directions it could n..."
"1472","Tuesday: Cooking with immigrant chefs in the city, a not-so-silent night and a nudist anniversary."
"1473","Here’s what you need to know to start your day."
"1474","As a national conversation about harassment moves forward, journalistic gatekeepers are under the glare, raising questions about how their behavior shaped the stories they told."
"1475","Jose Ines Garcia Zarate, an undocumented Mexican immigrant, was acquitted of murder and manslaughter in a San Francisco case that set off a national debate."
"1476","The last time Michael Estevez saw Trai Donaldson, it was sometime in October and the two lifelong friends sat watching ESPN in Estevez's Tampa home, discussing the best basketball player of all time."
"1477","What did Matt Lauer, Charlie Rose and Bill O’Reilly have in common? They were encouraged to be larger-than-life characters before their sudden falls."
"1478","Yemeni rebels on Monday killed their onetime ally Ali Abdullah Saleh, the country's former president, as they gained the upper hand in days of fighting with his forces for control of the capital, Sanaa. The tumult threw the country's three-year ci..."
"1479","The shifting explanations for why President Donald Trump fired national security adviser Michael Flynn have revived questions about whether the president may have obstructed an ongoing investigation of potential contacts between his campaign and R..."
"1480","Alex M. Azar II, President Trump’s nominee for health secretary, said at a hearing on Wednesday that he knew how to improve a system that made drugs unaffordable for some patients."
"1481","In a legal case with profound implications for LGBT rights and religion's place in public life, the opposing sides agree on this: It's not about the cake."
"1482","The latest landmark — Dow 24,000 — reflects optimism about rising profits and lower taxes, and a seeming imperviousness to unsettling news."
"1483","China is financing billions of dollars worth of Chinese-led projects in Iran, making deep inroads into the economy while European competitors struggle to find banks willing to fund their ambitions, Iranian government and industry officials said."
"1484","United States officials will soon decide whether to broaden tariffs on solar panels in a way that could spur Beijing to retaliate against American-made goods."
"1485","After years of wandering London’s canals, a step ahead of the law, two English graduates turned squatters find success in their 50s with their floating bookstore."
"1486",""
"1487","One of the former detectives’ lawyers questioned the 18-year-old woman’s narrative of the encounter, though his arguments veered at times toward victim-blaming."
"1488","The 1917 blast after a collision between a French munitions ship and a Norwegian vessel killed about 2,000 people and leveled part of the Canadian city."
"1489","Journalists who broke two of the biggest sexual harassment cases of the past year were joined by the actress Ashley Judd to discuss their reporting."
"1490","Venezuelan authorities on Thursday arrested two former top officials in a widening corruption probe into the state-run oil industry that some see as an attempt by President Nicolas Maduro to consolidate power within his socialist party ahead of ne..."
"1491","This ginormous adaptation of the beloved Nickelodeon television series perfectly captures the innocently idiotic spirit of its prototype."
"1492","Venezuelan authorities on Thursday arrested two once-powerful officials who had run the oil ministry and state energy company PDVSA as part of a deepening industry purge also seen as a power play by leftist President Nicolas Maduro."
"1493","When a clinical trial falters, doctors find themselves sifting through the rubble."
"1494","Here’s what you need to know to start your day."
"1495","Republicans say their proposals will set off a wave of investment, hiring and raises. But the outlook from the executive suite is not so clear."
"1496","The host country got a favorable draw, but it will be up to other teams, and to FIFA, to make the best of the situation if the Russians go out early."
"1497","British Prime Minister Theresa May meets European Commission President Jean-Claude Juncker for lunch in Brussels on Monday for what could be a breakthrough in Brexit talks."
"1498","The career year for Martin Truex Jr. rolls on."
"1499","Like the Babe, Shohei Ohtani can hit and pitch with distinction. But comparisons to the great Yankees slugger do not seem to resonate in Ohtani’s home country."
"1500","For almost 50 years Sybil and David Yurman have focused on a creative approach to jewelry, like their well-known cable designs in silver."
"1501","Dozens of U.S. colleges have bestowed honors upon prominent men from Hollywood to the nation's capital who have recently been accused of sexual misconduct. Their dilemma: deciding whether to revoke them."
"1502","Scott Frost, the native son who quarterbacked Nebraska to a share of the national championship 20 years ago, is returning to the Cornhuskers as coach after orchestrating a stunning two-year turnaround at Central Florida."
"1503","Stoking the same anti-Islam sentiments he fanned on the campaign trail, President Donald Trump on Wednesday retweeted a string of inflammatory videos from a fringe British political group purporting to show violence being committed by Muslims."
"1504","If a call comes in from the 865 area code, don't pick up."
"1505","Days before masked agents arrested him, family and friends pleaded with Eulogio Del Pino to flee, warning that he could be next among executives detained or pursued, one after another, in a mounting purge of Venezuela's faltering oil industry."
"1506","Reluctant to leave their homes and animals unprotected, some Indonesians from near Mount Agung have circumvented government orders."
"1507","Children, unlike their parents, tend to embrace verse with fierce and unembarrassed joy."
"1508","Paul Thomas Anderson’s “Phantom Thread” finds its inspiration in the eccentric figures of the 1950s — and celebrates fashion’s enduring sense of fantasy."
"1509","The young soprano Aida Garifullina expands the role and branches out with her first album."
"1510","A research group has proposed ending weekday overnight subway service to enable much-needed repairs. Riders and transit advocates called the idea elitist and unfeasible."
